zi,gailv
0,京,-6.627636211256285
1,保,-6.163095059607434
2,发,-6.357779922757105
3,上,-3.934777377542958
4,林,-6.406615051966226
5,黄,-5.786414318928507
6,什,-6.423758328952664
7,松,-8.271828969743435
8,国,-5.039387045348515
9,一,-4.814320416518564
10,牡,-8.849906820518592
11,有,-5.26941177308756
12,赵,-6.453000178547161
13,叶,-7.924958025901323
14,夕,-10.538482053511418
15,下,-6.332911856179092
16,初,-6.8689053516520095
17,荷,-8.653196526272538
18,谢,-6.569300634243322
19,佟,-8.347814876721356
20,汪,-8.51188299320596
21,中,-3.940534169646886
22,飞,-6.770465278838756
23,陆,-7.719206217298982
24,因,-7.578681789183489
25,戴,-8.265749923667052
26,后,-6.66850728432677
27,电,-5.468838206287051
28,超,-6.562656091524653
29,金,-5.707348765469016
30,无,-6.179513338854388
31,张,-5.073155852192754
32,成,-6.113283246972326
33,五,-6.199270820442788
34,王,-4.571280064421708
35,认,-9.294157953661914
36,天,-5.59641955108077
37,杜,-7.108297134976009
38,如,-4.046955485282954
39,整,-8.698866563105726
40,高,-5.10091438440496
41,杨,-5.8465946514418325
42,吴,-6.6347284395657775
43,孤,-8.618105206461268
44,欢,-7.987200334778544
45,他,-6.974765742351487
46,浩,-9.875187836101153
47,亚,-6.3373074676521295
48,土,-6.6996624521065655
49,轮,-8.124671325407148
50,替,-9.543054001078538
51,骑,-6.506847619596773
52,詹,-6.340837921451513
53,大,-4.534304542022935
54,塔,-7.765893331271636
55,马,-4.770896622296599
56,威,-7.525256622509908
57,利,-7.115945355814266
58,尤,-8.609521462769877
59,怎,-5.714885306087255
60,科,-6.338188913279936
61,作,-7.2492025880532465
62,昔,-9.095029278551577
63,阿,-5.479243354047281
64,历,-7.089428650671627
65,你,-4.963647653412194
66,双,-6.993269213916046
67,绝,-5.757383251115633
68,猛,-6.983133992022003
69,再,-7.551612467215271
70,德,-6.121059885668953
71,拜,-8.567674352834377
72,罗,-6.5473217275245466
73,法,-6.263451257836092
74,互,-6.854024124655358
75,投,-6.149129378745462
76,信,-6.721416348980211
77,月,-5.6035850190416445
78,汇,-8.977246242895195
79,股,-6.049845683779277
80,万,-5.832668341743638
81,还,-7.026059036739037
82,美,-4.41418488727602
83,冯,-7.600254274437617
84,心,-7.181379991714485
85,报,-7.996416989883468
86,海,-5.750010398843022
87,年,-5.013966980802422
88,巴,-5.797650392195433
89,践,-11.579935928339578
90,重,-5.998321087657584
91,计,-8.162209244726212
92,不,-5.817360573841885
93,季,-6.657524867658161
94,目,-7.638354120669887
95,好,-6.941975919528495
96,寻,-8.917348101314126
97,独,-7.482817439234752
98,巨,-7.969018015695354
99,杭,-7.480051185741862
100,摇,-8.592571904456104
101,三,-5.609099349027564
102,徐,-7.061777119341116
103,期,-7.609644014787456
104,山,-5.929788669516008
105,房,-5.381796022624694
106,物,-7.115945355814266
107,实,-6.887060161932381
108,都,-7.338609175768831
109,头,-8.098695839003886
110,当,-6.259367952856722
111,瞭,-11.579935928339578
112,税,-8.72730449842626
113,四,-6.118932979514446
114,行,-7.251397978616683
115,惠,-7.814867335868096
116,铜,-9.2285606711761
117,售,-8.459040511831581
118,未,-6.760999352849874
119,火,-5.765805396514511
120,青,-6.259367952856722
121,世,-5.451248892425026
122,将,-8.098695839003886
123,又,-6.836454126553974
124,众,-7.202084665076177
125,名,-7.147136968292273
126,李,-5.309262605984437
127,地,-6.4810862774204665
128,裸,-8.96497615030338
129,荣,-7.3702805196064825
130,同,-6.545150174011039
131,越,-6.716255047199986
132,充,-8.114200025539851
133,曝,-8.361060103471377
134,道,-7.5339649504016935
135,新,-4.902432739908946
136,人,-5.424016826266066
137,在,-5.293317293941114
138,长,-5.922779295023433
139,夏,-6.687083669899706
140,防,-7.260228058064954
141,汉,-7.165119470842705
142,十,-6.556055407493302
143,雷,-6.482104089213167
144,那,-6.900895893785031
145,异,-8.592571904456104
146,奥,-6.026330557150764
147,伤,-8.894358583089426
148,儿,-7.287195984492461
149,彩,-8.167688710490838
150,猪,-7.179332908092761
151,孩,-7.275870835135408
152,没,-7.078276118721151
153,合,-6.813497594755364
154,基,-7.114027809684994
155,找,-8.96497615030338
156,北,-5.440410636041742
157,矛,-10.806746040106097
158,英,-5.2258557846307925
159,西,-5.360008668439786
160,江,-6.136796977252802
161,肥,-9.137588892970374
162,特,-5.405802662483104
163,就,-7.878633954227085
164,广,-5.728691762006915
165,苹,-6.348827311484992
166,分,-6.816338505756968
167,随,-8.51188299320596
168,微,-5.5007658008124904
169,东,-5.54485329940934
170,调,-8.466420619129204
171,网,-6.051830467758663
172,手,-5.527454679425822
173,净,-8.94087859872432
174,玉,-7.0527272838211985
175,偶,-7.924958025901323
176,深,-6.399089146265879
177,哪,-6.751622191037277
178,联,-5.5703040772761465
179,以,-5.609524790429428
180,日,-5.233714943115494
181,军,-6.450037213416504
182,理,-7.744074283876996
183,雄,-9.152187692391527
184,沃,-7.442106254177738
185,俄,-5.677758072058361
186,控,-8.96497615030338
187,拥,-8.72730449842626
188,强,-7.7333407282338875
189,华,-5.529023922588176
190,诗,-7.612793623690353
191,叙,-6.83066539837773
192,平,-6.661172288115204
193,乌,-7.179332908092761
194,沙,-7.242645187507088
195,焊,-10.973800124769262
196,浑,-10.886788747779633
197,虎,-7.418452063279848
198,我,-5.243700341795688
199,狗,-8.241796682644559
200,坐,-8.430052974958329
201,唐,-6.713684351696885
202,湘,-8.917348101314126
203,玻,-8.415868339966373
204,洋,-8.883059027835493
205,最,-5.657910780968878
206,博,-7.036641146069574
207,恐,-8.328270280648386
208,退,-7.674601911062228
209,战,-5.866753329171462
210,苏,-6.441200631616006
211,加,-6.452011547720222
212,印,-5.942174554781171
213,孟,-8.103837238504305
214,莫,-7.287195984492461
215,账,-10.113598859546151
216,给,-7.8704371870229055
217,稻,-9.109015520526318
218,安,-5.827892530066124
219,小,-4.646837841685645
220,农,-4.884549127503692
221,病,-9.167002778176666
222,蟹,-11.42578524851232
223,水,-6.594048803932516
224,母,-6.843737479945083
225,悄,-9.937708193082488
226,养,-6.5078920061146786
227,每,-7.153095277875904
228,忽,-9.364362212335163
229,观,-7.644847649980436
230,羊,-8.849906820518592
231,落,-8.173198366301808
232,茄,-10.973800124769262
233,奇,-7.149119129496264
234,粮,-9.459672392139487
235,麻,-8.241796682644559
236,招,-7.62869220975815
237,貂,-10.236201181638483
238,荒,-7.266902165152648
239,赞,-9.294157953661914
240,入,-8.114200025539851
241,获,-9.109015520526318
242,艾,-7.7585672911795625
243,玩,-6.729208596200377
244,虞,-10.280652944209317
245,组,-8.567674352834377
246,旅,-6.738376964287256
247,为,-4.174035078748825
248,从,-6.191625523264837
249,鼻,-10.599106675327851
250,古,-6.18934328568237
251,画,-8.415868339966373
252,蚩,-12.678548217007688
253,诸,-8.401882097991633
254,会,-7.891056474225642
255,女,-5.696613539851299
256,汤,-7.850234479705387
257,麦,-7.715703586747781
258,瑞,-7.2492025880532465
259,斯,-6.770465278838756
260,白,-6.36590637831413
261,出,-6.619425021425891
262,街,-8.230031841064973
263,田,-7.788199088785934
264,娱,-6.950073129761115
265,刘,-5.586390215027771
266,笑,-8.01510912289562
267,毫,-9.610495281874071
268,史,-7.133370772528125
269,琅,-8.388088775859297
270,创,-6.53221895933879
271,到,-7.654667696161411
272,丁,-7.803350893806536
273,韩,-6.046546439612058
274,对,-6.399089146265879
275,捞,-11.762257485133533
276,卡,-6.390689656845903
277,鲁,-7.255803272084599
278,足,-7.024306187911622
279,粤,-8.662165196255298
280,热,-7.123652523059204
281,纽,-8.167688710490838
282,克,-7.091299558607438
283,欧,-6.460944609605697
284,脂,-11.762257485133533
285,韦,-8.29029103258317
286,今,-6.119641445714819
287,龙,-6.689586800117824
288,横,-8.328270280648386
289,车,-6.237601676374767
290,余,-7.193751283517033
291,摆,-10.039490887392429
292,盘,-6.908665940646963
293,皖,-9.970498015905477
294,内,-6.924389535026419
295,两,-6.890118268291202
296,现,-5.646806958244559
297,比,-6.091687144683445
298,民,-6.713684351696885
299,涨,-8.135253434737683
300,很,-8.114200025539851
301,楼,-7.227509763441987
302,链,-9.01498657087804
303,燕,-8.567674352834377
304,司,-7.003508211217141
305,揭,-7.691522788550565
306,买,-6.017333067146156
307,俸,-12.678548217007688
308,关,-6.248022612363026
309,家,-6.461942115922823
310,市,-7.387759116880442
311,帝,-8.277945196760871
312,款,-6.885534608623543
313,语,-7.612793623690353
314,精,-7.460898753527106
315,漫,-7.942349768613192
316,别,-6.741012011925261
317,宝,-5.930961690178372
318,跑,-7.258013217735401
319,清,-6.822044655333823
320,六,-7.615953183980721
321,停,-8.388088775859297
322,操,-8.437221464436941
323,交,-6.856982706695103
324,凯,-6.1697790800360055
325,迈,-7.578681789183489
326,帕,-7.7404836157462675
327,来,-7.578681789183489
328,侨,-11.762257485133533
329,谷,-6.971437952258812
330,瓦,-7.903635256432501
331,即,-8.271828969743435
332,教,-6.027622546994567
333,题,-10.113598859546151
334,思,-8.167688710490838
335,书,-7.141213949989151
336,标,-7.991798044027173
337,腾,-6.388832646098691
338,百,-6.680853120149069
339,这,-5.03650381413443
340,持,-8.883059027835493
341,淘,-7.826517953088071
342,索,-8.01510912289562
343,力,-8.68034751533849
344,与,-7.5940430743449765
345,图,-7.505227340634336
