zi,pinyin,gailv
0,T,ti,-11.561687057302917
1,恤,xu,-10.175392696183028
2,啊,a,-9.259101964308872
3,哈,ha,-7.629861424578592
4,哟,yo,-9.769927588074863
5,喂,wei,-10.463074768634808
6,阿,a,-7.5913951437507965
7,阿,e,-11.561687057302917
8,爸,ba,-9.615776908247605
9,宝,bao,-7.5727030107386435
10,波,bo,-7.061877386972653
11,罗,luo,-7.095778938648334
12,布,bu,-6.774195314520872
13,杜,du,-8.789098335063137
14,艾,ai,-9.364462479966699
15,尼,ni,-7.14284644950632
16,兹,zi,-9.482245515623083
17,扎,za,-9.364462479966699
18,比,bi,-6.926958069073282
19,尔,er,-6.4740907220705335
20,巴,ba,-7.204978230613326
21,亚,ya,-6.641706131474793
22,卑,bei,-9.076780407514917
23,斯,si,-6.3969010833794036
24,山,shan,-6.040226139440671
25,脉,mai,-8.035326532686756
26,及,ji,-8.160489675640763
27,利,li,-6.309413629256288
28,泰,tai,-8.671315299406753
29,福,fu,-7.755024567532598
30,富,fu,-7.629861424578592
31,汗,han,-8.92262972768766
32,根,gen,-7.257621964098748
33,廷,ting,-9.482245515623083
34,海,hai,-6.283572398072401
35,纪,ji,-7.418552330911385
36,加,jia,-6.511831050053381
37,西,xi,-6.461820629478719
38,卡,ka,-7.5727030107386435
39,耶,ye,-9.259101964308872
40,夫,fu,-7.107339761049411
41,科,ke,-6.870339175073775
42,塔,ta,-7.755024567532598
43,克,ke,-6.782563564191388
44,苏,su,-8.160489675640763
45,肯,ken,-9.259101964308872
46,色,se,-6.591873757726917
47,拉,la,-6.537806536456642
48,马,ma,-6.391203062264766
49,伯,bo,-7.872807603188981
50,半,ban,-6.926958069073282
51,岛,dao,-7.5727030107386435
52,人,ren,-5.100218880949201
53,法,fa,-5.91624015965968
54,特,te,-6.620044634693613
55,里,li,-6.694152606847336
56,蒂,di,-8.92262972768766
57,德,de,-6.946566540461658
58,琉,liu,-9.769927588074863
59,妈,ma,-8.383633226954972
60,曼,man,-8.789098335063137
61,毛,mao,-7.029087564149662
62,妹,mei,-8.426192841373767
63,明,ming,-6.571254470524182
64,姆,mu,-9.259101964308872
65,丹,dan,-8.26585019129859
66,萨,sa,-7.872807603188981
67,森,sen,-8.194391227316444
68,松,song,-7.554353872070447
69,脱,tuo,-7.71153945559286
70,平,ping,-6.2003948915934926
71,维,wei,-7.244198943766608
72,兰,lan,-7.299007180261603
73,热,re,-6.5247344548892885
74,姨,yi,-8.342811232434718
75,吟,yin,-9.952249144868818
76,正,zheng,-6.7333733200006165
77,嗲,dia,-10.175392696183028
78,埃,ai,-8.789098335063137
79,贝,bei,-8.065179495836437
80,芬,fen,-9.259101964308872
81,格,ge,-7.007810165702377
82,米,mi,-7.518635789468368
83,塞,sai,-8.095951154503192
84,俄,e,-8.728473713246702
85,瓦,wa,-7.872807603188981
86,挨,ai,-9.364462479966699
87,打,da,-6.557740751357459
88,个,ge,-7.1922392048358965
89,儿,er,-5.985737954156602
90,骂,ma,-8.99673769984138
91,门,men,-6.408395462805139
92,户,hu,-7.669866759192291
93,着,zhe,-8.470644603944603
94,哎,ai,-9.769927588074863
95,呀,ya,-9.769927588074863
96,唉,ai,-10.463074768634808
97,声,sheng,-6.825488608908422
98,叹,tan,-9.076780407514917
99,气,qi,-5.952215262117958
100,哀,ai,-8.92262972768766
101,愁,chou,-9.163791784504548
102,悼,dao,-9.769927588074863
103,歌,ge,-7.649664051874772
104,号,hao,-6.799513122505162
105,乐,yue,-7.518635789468368
106,鸣,ming,-8.853636856200708
107,求,qiu,-7.484149613397198
108,思,si,-7.418552330911385
109,痛,tong,-7.872807603188981
110,皑,ai,-10.868539876742972
111,癌,ai,-8.789098335063137
112,细,xi,-7.313191815253559
113,胞,bao,-8.127699852817772
114,症,zheng,-8.728473713246702
115,肿,zhong,-8.99673769984138
116,矮,ai,-9.482245515623083
117,秆,gan,-10.463074768634808
118,作,zuo,-6.253419359901713
119,物,wu,-6.036234118171134
120,小,xiao,-5.838101955350537
121,迈,mai,-9.364462479966699
122,豪,hao,-8.426192841373767
123,威,wei,-7.84811499059861
124,文,wen,-6.177191994513829
125,碍,ai,-9.615776908247605
126,爱,ai,-7.327580552705658
127,不,bu,-5.255411770354902
128,释,shi,-8.789098335063137
129,手,shou,-6.132341428348477
130,达,da,-7.244198943766608
131,荷,he,-8.470644603944603
132,戴,dai,-8.92262972768766
133,迪,di,-9.076780407514917
134,生,sheng,-5.504903044074293
135,丁,ding,-8.065179495836437
136,堡,bao,-8.728473713246702
137,抚,fu,-8.789098335063137
138,国,guo,-5.4771876442277465
139,立,li,-6.686489734101766
140,功,gong,-7.244198943766608
141,力,li,-5.854576792554043
142,量,liang,-6.467936856496156
143,旗,qi,-8.127699852817772
144,帜,zhi,-9.769927588074863
145,情,qing,-6.701874652941246
146,士,shi,-7.007810165702377
147,卫,wei,-7.230953717016587
148,运,yun,-6.557740751357459
149,动,dong,-5.587877445433657
150,学,xue,-5.472642181856072
151,者,zhe,-6.843188186007824
152,主,zhu,-5.825114759823726
153,义,yi,-6.283572398072401
154,好,hao,-6.717499970844327
155,华,hua,-7.0398984802538775
156,护,hu,-7.554353872070447
157,军,jun,-6.2003948915934926
158,民,min,-5.926897454133669
159,慕,mu,-9.076780407514917
160,女,nv,-7.073050687570778
161,琴,qin,-8.426192841373767
162,沙,sha,-7.387299787407281
163,上,shang,-5.765629306537546
164,惜,xi,-9.615776908247605
165,因,yin,-7.649664051874772
166,坦,tan,-8.229482547127715
167,憎,zeng,-10.175392696183028
168,分,fen,-5.857904582646717
169,珍,zhen,-8.517164619579495
170,滋,zi,-9.076780407514917
171,病,bing,-6.671337929081164
172,隘,ai,-10.868539876742972
173,鞍,an,-9.769927588074863
174,钢,gang,-7.257621964098748
175,宪,xian,-8.426192841373767
176,氨,an,-9.163791784504548
177,化,hua,-5.667284223038068
178,基,ji,-6.709656793383301
179,塑,su,-8.517164619579495
180,料,liao,-6.741405491697881
181,酸,suan,-6.870339175073775
182,水,shui,-5.585336148004984
183,安,an,-6.449699268946374
184,静,jing,-7.610443338721491
185,插,cha,-8.342811232434718
186,大,da,-4.979661918410092
187,略,lve,-7.84811499059861
188,道,dao,-6.341331232224593
189,烈,lie,-8.160489675640763
190,的,di,-9.259101964308872
191,列,lie,-7.450813193129607
192,群,qun,-7.467342495080818
193,第,di,-7.84811499059861
194,定,ding,-6.368730206412708
195,局,ju,-7.217881635449234
196,面,mian,-6.114949685636608
197,东,dong,-6.686489734101766
198,顿,dun,-8.303590519281435
199,放,fang,-6.888858222841012
200,守,shou,-7.649664051874772
201,己,ji,-8.517164619579495
202,哥,ge,-7.898125411173272
203,圭,gui,-10.175392696183028
204,徽,hui,-9.615776908247605
205,省,sheng,-7.610443338721491
206,家,jia,-5.854576792554043
207,落,luo,-7.0398984802538775
208,居,ju,-7.7774974233846565
209,乐,le,-7.82401743901955
210,业,ye,-6.00485899560338
211,康,kang,-8.194391227316444
212,理,li,-6.2241489776016
213,会,hui,-5.750546064326217
214,禄,lu,-9.615776908247605
215,告,gao,-7.5727030107386435
216,示,shi,-7.950769144658693
217,政,zheng,-6.4317883423798445
218,策,ce,-8.26585019129859
219,娜,na,-9.615776908247605
220,纳,na,-7.649664051874772
221,南,nan,-6.649032171566866
222,宁,ning,-7.800486941609355
223,排,pai,-7.629861424578592
224,培,pei,-8.728473713246702
225,庆,qing,-8.095951154503192
226,丘,qiu,-9.364462479966699
227,全,quan,-6.7495027019305
228,部,bu,-6.5247344548892885
229,队,dui,-6.926958069073282
230,措,cuo,-8.92262972768766
231,施,shi,-7.82401743901955
232,带,dai,-6.9367142440186464
233,阀,fa,-8.853636856200708
234,感,gan,-7.167237902630479
235,检,jian,-7.84811499059861
236,查,cha,-7.299007180261603
237,势,shi,-7.450813193129607
238,事,shi,-6.127965053748678
239,年,nian,-6.085223505371407
240,员,yuan,-6.420023500800258
241,产,chan,-6.181789703762458
242,体,ti,-6.036234118171134
243,系,xi,-7.073050687570778
244,网,wang,-7.690486046395027
245,数,shu,-6.319940042243275
246,然,ran,-6.6272131241722265
247,无,wu,-6.036234118171134
248,恙,yang,-11.561687057302917
249,设,she,-7.536335366567768
250,身,shen,-6.898247963190851
251,史,shi,-7.518635789468368
252,之,zhi,-7.050827550786068
